"","schoolcode","program","cutoff","mean_score","size","schoolname","sssdistrict","ssslong","ssslat"
"13",10103,"General Arts",349,362.581196581197,117,"WESLEY GRAMMAR SCHOOL, DANSOMAN","Accra Metropolitan",-0.197115257382393,5.6073956489563
"14",10103,"General Science",335,353.5625,80,"WESLEY GRAMMAR SCHOOL, DANSOMAN","Accra Metropolitan",-0.197115257382393,5.6073956489563
"15",10103,"Home Economics",320,336.040816326531,49,"WESLEY GRAMMAR SCHOOL, DANSOMAN","Accra Metropolitan",-0.197115257382393,5.6073956489563
"16",10103,"Visual Arts",343,357.95,40,"WESLEY GRAMMAR SCHOOL, DANSOMAN","Accra Metropolitan",-0.197115257382393,5.6073956489563
"17",10104,"General Arts",302,320.127272727273,55,"HOLY TRINITY CATHEDRAL SENIOR HIGH SCH, ACCRA","Accra Metropolitan",-0.197115257382393,5.6073956489563
"18",10104,"General Science",245,283.363636363636,55,"HOLY TRINITY CATHEDRAL SENIOR HIGH SCH, ACCRA","Accra Metropolitan",-0.197115257382393,5.6073956489563
"19",10104,"Home Economics",264,285.854545454545,55,"HOLY TRINITY CATHEDRAL SENIOR HIGH SCH, ACCRA","Accra Metropolitan",-0.197115257382393,5.6073956489563
"20",10104,"Visual Arts",273,298.327272727273,55,"HOLY TRINITY CATHEDRAL SENIOR HIGH SCH, ACCRA","Accra Metropolitan",-0.197115257382393,5.6073956489563
"21",10105,"Agriculture",260,306.266666666667,45,"ST THOMAS AQUINAS SENIOR HIGH. SCHOOL, CANTONMENTS","Accra Metropolitan",-0.197115257382393,5.6073956489563
"22",10105,"Business",331,356.355555555556,90,"ST THOMAS AQUINAS SENIOR HIGH. SCHOOL, CANTONMENTS","Accra Metropolitan",-0.197115257382393,5.6073956489563
"23",10105,"General Arts",328,356.735632183908,87,"ST THOMAS AQUINAS SENIOR HIGH. SCHOOL, CANTONMENTS","Accra Metropolitan",-0.197115257382393,5.6073956489563
"24",10105,"General Science",339,366.4875,80,"ST THOMAS AQUINAS SENIOR HIGH. SCHOOL, CANTONMENTS","Accra Metropolitan",-0.197115257382393,5.6073956489563
"25",10105,"Visual Arts",323,347.977272727273,44,"ST THOMAS AQUINAS SENIOR HIGH. SCHOOL, CANTONMENTS","Accra Metropolitan",-0.197115257382393,5.6073956489563
"26",10106,"Business",328,345.19,100,"ACCRA HIGH SCHOOL, ASYLUM DOWN, ACCRA","Accra Metropolitan",-0.197115257382393,5.6073956489563
"27",10106,"General Arts",336,350.353535353535,99,"ACCRA HIGH SCHOOL, ASYLUM DOWN, ACCRA","Accra Metropolitan",-0.197115257382393,5.6073956489563
"28",10106,"General Science",336,354.68,50,"ACCRA HIGH SCHOOL, ASYLUM DOWN, ACCRA","Accra Metropolitan",-0.197115257382393,5.6073956489563
"29",10106,"Home Economics",293,319,50,"ACCRA HIGH SCHOOL, ASYLUM DOWN, ACCRA","Accra Metropolitan",-0.197115257382393,5.6073956489563
"30",10106,"Technical",301,324.285714285714,49,"ACCRA HIGH SCHOOL, ASYLUM DOWN, ACCRA","Accra Metropolitan",-0.197115257382393,5.6073956489563
"31",10106,"Visual Arts",314,331.106382978723,47,"ACCRA HIGH SCHOOL, ASYLUM DOWN, ACCRA","Accra Metropolitan",-0.197115257382393,5.6073956489563
"32",10107,"Business",292,313.289156626506,83,"PRESBYTERIAN SENIOR HIGH. SCHOOL, OSU-ACCRA","Accra Metropolitan",-0.197115257382393,5.6073956489563
"33",10107,"General Arts",299,318.065934065934,91,"PRESBYTERIAN SENIOR HIGH. SCHOOL, OSU-ACCRA","Accra Metropolitan",-0.197115257382393,5.6073956489563
"34",10107,"General Science",281,310.658536585366,41,"PRESBYTERIAN SENIOR HIGH. SCHOOL, OSU-ACCRA","Accra Metropolitan",-0.197115257382393,5.6073956489563
"35",10107,"Home Economics",286,303.121951219512,41,"PRESBYTERIAN SENIOR HIGH. SCHOOL, OSU-ACCRA","Accra Metropolitan",-0.197115257382393,5.6073956489563
"36",10107,"Visual Arts",288,306.92,50,"PRESBYTERIAN SENIOR HIGH. SCHOOL, OSU-ACCRA","Accra Metropolitan",-0.197115257382393,5.6073956489563
"37",10108,"Business",291,312.015625,64,"O'REILLY SENIOR HIGH SCHOOL, ADABRAKA","Accra Metropolitan",-0.197115257382393,5.6073956489563
"38",10108,"General Arts",291,310.663865546218,119,"O'REILLY SENIOR HIGH SCHOOL, ADABRAKA","Accra Metropolitan",-0.197115257382393,5.6073956489563
"39",10108,"General Science",248,285.444444444444,45,"O'REILLY SENIOR HIGH SCHOOL, ADABRAKA","Accra Metropolitan",-0.197115257382393,5.6073956489563
"40",10108,"Home Economics",278,294.022222222222,45,"O'REILLY SENIOR HIGH SCHOOL, ADABRAKA","Accra Metropolitan",-0.197115257382393,5.6073956489563
"41",10108,"Visual Arts",280,302.822222222222,45,"O'REILLY SENIOR HIGH SCHOOL, ADABRAKA","Accra Metropolitan",-0.197115257382393,5.6073956489563
"42",10109,"Home Economics",259,277.5,50,"KINBU SENIOR HIGH/TECHNICAL SCHOOL, KINDB-ACCRA","Accra Metropolitan",-0.197115257382393,5.6073956489563
"43",10109,"Technical",257,279.085,200,"KINBU SENIOR HIGH/TECHNICAL SCHOOL, KINDB-ACCRA","Accra Metropolitan",-0.197115257382393,5.6073956489563
"44",10109,"Visual Arts",278,297.1,50,"KINBU SENIOR HIGH/TECHNICAL SCHOOL, KINDB-ACCRA","Accra Metropolitan",-0.197115257382393,5.6073956489563
"45",10110,"Agriculture",343,371.275,40,"ACHIMOTA SENIOR HIGH SCHOOL, ACHIMOTA-ACCRA","Accra Metropolitan",-0.197115257382393,5.6073956489563
"46",10110,"General Arts",389,409.146666666667,225,"ACHIMOTA SENIOR HIGH SCHOOL, ACHIMOTA-ACCRA","Accra Metropolitan",-0.197115257382393,5.6073956489563
"47",10110,"General Science",401,419.988888888889,180,"ACHIMOTA SENIOR HIGH SCHOOL, ACHIMOTA-ACCRA","Accra Metropolitan",-0.197115257382393,5.6073956489563
"48",10110,"Home Economics",366,385.825,40,"ACHIMOTA SENIOR HIGH SCHOOL, ACHIMOTA-ACCRA","Accra Metropolitan",-0.197115257382393,5.6073956489563
"49",10110,"Visual Arts",389,407.64,50,"ACHIMOTA SENIOR HIGH SCHOOL, ACHIMOTA-ACCRA","Accra Metropolitan",-0.197115257382393,5.6073956489563
"50",10111,"Agriculture",371,394.8,40,"PRESBY BOYS SENIOR HIGH. SCHOOL, LEGON","Ga West (Amasaman)",-0.397510528564453,5.6646876335144
"51",10111,"Business",382,405.333333333333,120,"PRESBY BOYS SENIOR HIGH. SCHOOL, LEGON","Ga West (Amasaman)",-0.397510528564453,5.6646876335144
"52",10111,"General Arts",382,401.525,120,"PRESBY BOYS SENIOR HIGH. SCHOOL, LEGON","Ga West (Amasaman)",-0.397510528564453,5.6646876335144
"53",10111,"General Science",407,424.885714285714,280,"PRESBY BOYS SENIOR HIGH. SCHOOL, LEGON","Ga West (Amasaman)",-0.397510528564453,5.6646876335144
"54",10111,"Visual Arts",379,398.075,40,"PRESBY BOYS SENIOR HIGH. SCHOOL, LEGON","Ga West (Amasaman)",-0.397510528564453,5.6646876335144
"55",10112,"Business",359,380.14606741573,89,"ACCRA GIRLS SENIOR HIGH. SCHOOL, MAMOBI","Accra Metropolitan",-0.197115257382393,5.6073956489563
"56",10112,"General Arts",374,385.850574712644,87,"ACCRA GIRLS SENIOR HIGH. SCHOOL, MAMOBI","Accra Metropolitan",-0.197115257382393,5.6073956489563
"57",10112,"General Science",362,377.466666666667,45,"ACCRA GIRLS SENIOR HIGH. SCHOOL, MAMOBI","Accra Metropolitan",-0.197115257382393,5.6073956489563
"58",10112,"Home Economics",363,375.966666666667,30,"ACCRA GIRLS SENIOR HIGH. SCHOOL, MAMOBI","Accra Metropolitan",-0.197115257382393,5.6073956489563
"59",10112,"Visual Arts",316,347.285714285714,49,"ACCRA GIRLS SENIOR HIGH. SCHOOL, MAMOBI","Accra Metropolitan",-0.197115257382393,5.6073956489563
"60",10114,"Business",329,347.99,100,"NUNGUA SENIOR HIGH. SCHOOL, NUNGUA","Accra Metropolitan",-0.197115257382393,5.6073956489563
"61",10114,"General Arts",337,351.9,100,"NUNGUA SENIOR HIGH. SCHOOL, NUNGUA","Accra Metropolitan",-0.197115257382393,5.6073956489563
"62",10114,"General Science",325,350.54,50,"NUNGUA SENIOR HIGH. SCHOOL, NUNGUA","Accra Metropolitan",-0.197115257382393,5.6073956489563
"63",10114,"Home Economics",319,335.02,50,"NUNGUA SENIOR HIGH. SCHOOL, NUNGUA","Accra Metropolitan",-0.197115257382393,5.6073956489563
"64",10114,"Visual Arts",319,338.22,50,"NUNGUA SENIOR HIGH. SCHOOL, NUNGUA","Accra Metropolitan",-0.197115257382393,5.6073956489563
"65",10115,"General Arts",321,338.538461538462,39,"ARMED FORCES SENIOR HIGH./TECH SCHOOL, BURMA CAMP","Accra Metropolitan",-0.197115257382393,5.6073956489563
"66",10115,"General Science",274,312.825,40,"ARMED FORCES SENIOR HIGH./TECH SCHOOL, BURMA CAMP","Accra Metropolitan",-0.197115257382393,5.6073956489563
"67",10115,"Home Economics",275,299.897435897436,39,"ARMED FORCES SENIOR HIGH./TECH SCHOOL, BURMA CAMP","Accra Metropolitan",-0.197115257382393,5.6073956489563
"68",10115,"Technical",295,316.0125,80,"ARMED FORCES SENIOR HIGH./TECH SCHOOL, BURMA CAMP","Accra Metropolitan",-0.197115257382393,5.6073956489563
"69",10115,"Visual Arts",290,314.875,40,"ARMED FORCES SENIOR HIGH./TECH SCHOOL, BURMA CAMP","Accra Metropolitan",-0.197115257382393,5.6073956489563
"70",10116,"Business",205,273.635714285714,280,"TESHIE PRESBY SENIOR HIGH. SCHOOL, TESHIE","Accra Metropolitan",-0.197115257382393,5.6073956489563
"71",10116,"General Arts",307,325.64,50,"TESHIE PRESBY SENIOR HIGH. SCHOOL, TESHIE","Accra Metropolitan",-0.197115257382393,5.6073956489563
"72",10116,"General Science",288,335.368421052632,38,"TESHIE PRESBY SENIOR HIGH. SCHOOL, TESHIE","Accra Metropolitan",-0.197115257382393,5.6073956489563
"73",10116,"Home Economics",279,298.051282051282,39,"TESHIE PRESBY SENIOR HIGH. SCHOOL, TESHIE","Accra Metropolitan",-0.197115257382393,5.6073956489563
"74",10116,"Visual Arts",288,309.051282051282,39,"TESHIE PRESBY SENIOR HIGH. SCHOOL, TESHIE","Accra Metropolitan",-0.197115257382393,5.6073956489563
"75",10117,"Agriculture",330,345.85,40,"LABONE SENIOR HIGH SCHOOL, LABONE-ACCRA","Accra Metropolitan",-0.197115257382393,5.6073956489563
"76",10117,"Business",349,367.506329113924,158,"LABONE SENIOR HIGH SCHOOL, LABONE-ACCRA","Accra Metropolitan",-0.197115257382393,5.6073956489563
"77",10117,"General Arts",363,375.836206896552,116,"LABONE SENIOR HIGH SCHOOL, LABONE-ACCRA","Accra Metropolitan",-0.197115257382393,5.6073956489563
"78",10117,"General Science",368,382.4625,80,"LABONE SENIOR HIGH SCHOOL, LABONE-ACCRA","Accra Metropolitan",-0.197115257382393,5.6073956489563
"79",10117,"Home Economics",341,353.615384615385,39,"LABONE SENIOR HIGH SCHOOL, LABONE-ACCRA","Accra Metropolitan",-0.197115257382393,5.6073956489563
"80",10117,"Visual Arts",358,370.078947368421,38,"LABONE SENIOR HIGH SCHOOL, LABONE-ACCRA","Accra Metropolitan",-0.197115257382393,5.6073956489563
"81",10118,"Agriculture",273,303.488888888889,45,"ODORGONNO SENIOR HIGH. SCH., AWOSHIE","Ga West (Amasaman)",-0.397510528564453,5.6646876335144
"82",10118,"Business",291,316.881481481482,135,"ODORGONNO SENIOR HIGH. SCH., AWOSHIE","Ga West (Amasaman)",-0.397510528564453,5.6646876335144
"83",10118,"General Arts",298,320.586592178771,179,"ODORGONNO SENIOR HIGH. SCH., AWOSHIE","Ga West (Amasaman)",-0.397510528564453,5.6646876335144
"84",10118,"General Science",298,326.488888888889,45,"ODORGONNO SENIOR HIGH. SCH., AWOSHIE","Ga West (Amasaman)",-0.397510528564453,5.6646876335144
"85",10118,"Home Economics",292,310.711111111111,45,"ODORGONNO SENIOR HIGH. SCH., AWOSHIE","Ga West (Amasaman)",-0.397510528564453,5.6646876335144
"86",10118,"Visual Arts",278,303.944444444444,90,"ODORGONNO SENIOR HIGH. SCH., AWOSHIE","Ga West (Amasaman)",-0.397510528564453,5.6646876335144
"87",10119,"Business",259,288.325,120,"CHRISTIAN METHODIST SENIOR HIGH. SCH., ASYLUM DOWN","Accra Metropolitan",-0.197115257382393,5.6073956489563
"88",10119,"General Arts",273,291.96,150,"CHRISTIAN METHODIST SENIOR HIGH. SCH., ASYLUM DOWN","Accra Metropolitan",-0.197115257382393,5.6073956489563
"89",10119,"General Science",235,279.413793103448,29,"CHRISTIAN METHODIST SENIOR HIGH. SCH., ASYLUM DOWN","Accra Metropolitan",-0.197115257382393,5.6073956489563
"90",10119,"Home Economics",264,279.12,50,"CHRISTIAN METHODIST SENIOR HIGH. SCH., ASYLUM DOWN","Accra Metropolitan",-0.197115257382393,5.6073956489563
"91",10119,"Visual Arts",272,290.938775510204,49,"CHRISTIAN METHODIST SENIOR HIGH. SCH., ASYLUM DOWN","Accra Metropolitan",-0.197115257382393,5.6073956489563
"92",10120,"General Arts",243,270.126050420168,119,"KANESHIE SENIOR HIGH./TECH, KANESHIE-ACCRA","Accra Metropolitan",-0.197115257382393,5.6073956489563
"93",10120,"Home Economics",253,269.72,25,"KANESHIE SENIOR HIGH./TECH, KANESHIE-ACCRA","Accra Metropolitan",-0.197115257382393,5.6073956489563
"94",10120,"Technical",259,288.336538461538,104,"KANESHIE SENIOR HIGH./TECH, KANESHIE-ACCRA","Accra Metropolitan",-0.197115257382393,5.6073956489563
"95",10120,"Visual Arts",266,281.6,30,"KANESHIE SENIOR HIGH./TECH, KANESHIE-ACCRA","Accra Metropolitan",-0.197115257382393,5.6073956489563
"96",10121,"Agriculture",335,361.875,40,"ACCRA ACADEMY, KANESHIE","Accra Metropolitan",-0.197115257382393,5.6073956489563
"97",10121,"Business",363,384.116666666667,180,"ACCRA ACADEMY, KANESHIE","Accra Metropolitan",-0.197115257382393,5.6073956489563
"98",10121,"General Arts",369,386.3875,80,"ACCRA ACADEMY, KANESHIE","Accra Metropolitan",-0.197115257382393,5.6073956489563
"99",10121,"General Science",358,384.2,160,"ACCRA ACADEMY, KANESHIE","Accra Metropolitan",-0.197115257382393,5.6073956489563
"100",10121,"Visual Arts",360,374.8,40,"ACCRA ACADEMY, KANESHIE","Accra Metropolitan",-0.197115257382393,5.6073956489563
"101",10128,"General Arts",278,295.54,50,"LA PRESBY SNR SENIOR HIGH SCH., LA EMMAUS","Accra Metropolitan",-0.197115257382393,5.6073956489563
"102",10128,"General Science",203,278.408163265306,49,"LA PRESBY SNR SENIOR HIGH SCH., LA EMMAUS","Accra Metropolitan",-0.197115257382393,5.6073956489563
"103",10128,"Home Economics",205,249.01,100,"LA PRESBY SNR SENIOR HIGH SCH., LA EMMAUS","Accra Metropolitan",-0.197115257382393,5.6073956489563
"104",10128,"Visual Arts",252,271.26,50,"LA PRESBY SNR SENIOR HIGH SCH., LA EMMAUS","Accra Metropolitan",-0.197115257382393,5.6073956489563
"105",10142,"Business",260,285.684210526316,95,"ST. MARGARET MARY SENIOR HIGH/TECHNICAL SCH., DANSOMAN","Accra Metropolitan",-0.197115257382393,5.6073956489563
"106",10142,"General Arts",280,305.105263157895,95,"ST. MARGARET MARY SENIOR HIGH/TECHNICAL SCH., DANSOMAN","Accra Metropolitan",-0.197115257382393,5.6073956489563
"107",10142,"General Science",225,266.3125,32,"ST. MARGARET MARY SENIOR HIGH/TECHNICAL SCH., DANSOMAN","Accra Metropolitan",-0.197115257382393,5.6073956489563
"108",10142,"Visual Arts",275,294.75,44,"ST. MARGARET MARY SENIOR HIGH/TECHNICAL SCH., DANSOMAN","Accra Metropolitan",-0.197115257382393,5.6073956489563
"109",10201,"Business",356,373.42962962963,135,"TEMA SENIOR HIGH. SCHOOL, TEMA COMM. 5","Tema",-0.0500882156193256,5.69031476974487
"110",10201,"General Arts",358,373.649253731343,134,"TEMA SENIOR HIGH. SCHOOL, TEMA COMM. 5","Tema",-0.0500882156193256,5.69031476974487
"111",10201,"General Science",344,367.291044776119,134,"TEMA SENIOR HIGH. SCHOOL, TEMA COMM. 5","Tema",-0.0500882156193256,5.69031476974487
"112",10201,"Home Economics",340,355.955555555556,45,"TEMA SENIOR HIGH. SCHOOL, TEMA COMM. 5","Tema",-0.0500882156193256,5.69031476974487
"113",10201,"Visual Arts",339,359.216666666667,60,"TEMA SENIOR HIGH. SCHOOL, TEMA COMM. 5","Tema",-0.0500882156193256,5.69031476974487
"114",10202,"General Arts",316,339.27135678392,199,"CHEMU SENIOR HIGH. SCHOOL, TEMA COMM. 4","Tema",-0.0500882156193256,5.69031476974487
"115",10202,"General Science",320,352.383333333333,120,"CHEMU SENIOR HIGH. SCHOOL, TEMA COMM. 4","Tema",-0.0500882156193256,5.69031476974487
"116",10202,"Home Economics",321,340.9,40,"CHEMU SENIOR HIGH. SCHOOL, TEMA COMM. 4","Tema",-0.0500882156193256,5.69031476974487
"117",10202,"Technical",290,318.4,80,"CHEMU SENIOR HIGH. SCHOOL, TEMA COMM. 4","Tema",-0.0500882156193256,5.69031476974487
"118",10202,"Visual Arts",310,343.641025641026,39,"CHEMU SENIOR HIGH. SCHOOL, TEMA COMM. 4","Tema",-0.0500882156193256,5.69031476974487
"119",10203,"Agriculture",252,280.777777777778,90,"ASHIAMAN SENIOR HIGH SCHOOL, TEMA","Tema",-0.0500882156193256,5.69031476974487
"120",10203,"General Arts",256,282.37037037037,135,"ASHIAMAN SENIOR HIGH SCHOOL, TEMA","Tema",-0.0500882156193256,5.69031476974487
"121",10203,"Home Economics",253,275.555555555556,45,"ASHIAMAN SENIOR HIGH SCHOOL, TEMA","Tema",-0.0500882156193256,5.69031476974487
"122",10203,"Visual Arts",249,274.977777777778,45,"ASHIAMAN SENIOR HIGH SCHOOL, TEMA","Tema",-0.0500882156193256,5.69031476974487
"123",10204,"Agriculture",209,243.285714285714,35,"MANHEAN SENIOR HIGH. TECH. SCH., TEMA NEW TOWN","Tema",-0.0500882156193256,5.69031476974487
"124",10204,"General Arts",217,245.333333333333,6,"MANHEAN SENIOR HIGH. TECH. SCH., TEMA NEW TOWN","Tema",-0.0500882156193256,5.69031476974487
"125",10204,"Home Economics",206,250.525,40,"MANHEAN SENIOR HIGH. TECH. SCH., TEMA NEW TOWN","Tema",-0.0500882156193256,5.69031476974487
"126",10204,"Technical",234,260.175,80,"MANHEAN SENIOR HIGH. TECH. SCH., TEMA NEW TOWN","Tema",-0.0500882156193256,5.69031476974487
"127",10204,"Visual Arts",216,255.85,40,"MANHEAN SENIOR HIGH. TECH. SCH., TEMA NEW TOWN","Tema",-0.0500882156193256,5.69031476974487
"128",10205,"Business",278,306.708333333333,120,"TEMA METHODIST DAY SENIOR HIGH. SCH., TEMA","Tema",-0.0500882156193256,5.69031476974487
"129",10205,"General Arts",289,311.243697478992,119,"TEMA METHODIST DAY SENIOR HIGH. SCH., TEMA","Tema",-0.0500882156193256,5.69031476974487
"130",10205,"General Science",242,282,60,"TEMA METHODIST DAY SENIOR HIGH. SCH., TEMA","Tema",-0.0500882156193256,5.69031476974487
"131",10205,"Home Economics",266,291.033333333333,60,"TEMA METHODIST DAY SENIOR HIGH. SCH., TEMA","Tema",-0.0500882156193256,5.69031476974487
"132",10205,"Visual Arts",271,294.55,60,"TEMA METHODIST DAY SENIOR HIGH. SCH., TEMA","Tema",-0.0500882156193256,5.69031476974487
"133",10210,"Business",230,270.491666666667,120,"PRESBY SENIOR HIGH. SCHOOL, TEMA","Tema",-0.0500882156193256,5.69031476974487
"134",10210,"General Arts",276,302.483333333333,60,"PRESBY SENIOR HIGH. SCHOOL, TEMA","Tema",-0.0500882156193256,5.69031476974487
"135",10210,"Home Economics",241,262.383333333333,60,"PRESBY SENIOR HIGH. SCHOOL, TEMA","Tema",-0.0500882156193256,5.69031476974487
"136",10210,"Visual Arts",248,270.716666666667,60,"PRESBY SENIOR HIGH. SCHOOL, TEMA","Tema",-0.0500882156193256,5.69031476974487
"137",10213,"Business",300,323.066666666667,45,"OUR LADY OF MERCY SENIOR HIGH SCHOOL, TEMA","Tema",-0.0500882156193256,5.69031476974487
"138",10213,"General Arts",279,299.011235955056,89,"OUR LADY OF MERCY SENIOR HIGH SCHOOL, TEMA","Tema",-0.0500882156193256,5.69031476974487
"139",10213,"General Science",260,305.777777777778,45,"OUR LADY OF MERCY SENIOR HIGH SCHOOL, TEMA","Tema",-0.0500882156193256,5.69031476974487
"140",10213,"Home Economics",281,303.7,20,"OUR LADY OF MERCY SENIOR HIGH SCHOOL, TEMA","Tema",-0.0500882156193256,5.69031476974487
"141",10213,"Visual Arts",281,296.35,20,"OUR LADY OF MERCY SENIOR HIGH SCHOOL, TEMA","Tema",-0.0500882156193256,5.69031476974487
"142",10301,"Agriculture",278,300.071428571429,42,"ADA SENIOR HIGH. SCHOOL, ADA-FOAH","Dangme East (Ada)",0.106862179934978,5.91473388671875
"143",10301,"General Arts",288,310.222222222222,126,"ADA SENIOR HIGH. SCHOOL, ADA-FOAH","Dangme East (Ada)",0.106862179934978,5.91473388671875
"144",10301,"General Science",292,317.785714285714,42,"ADA SENIOR HIGH. SCHOOL, ADA-FOAH","Dangme East (Ada)",0.106862179934978,5.91473388671875
"145",10301,"Home Economics",277,299.809523809524,42,"ADA SENIOR HIGH. SCHOOL, ADA-FOAH","Dangme East (Ada)",0.106862179934978,5.91473388671875
"146",10301,"Visual Arts",271,295.90243902439,41,"ADA SENIOR HIGH. SCHOOL, ADA-FOAH","Dangme East (Ada)",0.106862179934978,5.91473388671875
"147",10302,"Agriculture",246,275.96,50,"ADA SENIOR HIGH./TECH. SCHOOL, ADA","Dangme East (Ada)",0.106862179934978,5.91473388671875
"148",10302,"Business",285,307.054545454545,55,"ADA SENIOR HIGH./TECH. SCHOOL, ADA","Dangme East (Ada)",0.106862179934978,5.91473388671875
"149",10302,"General Arts",260,286.46,100,"ADA SENIOR HIGH./TECH. SCHOOL, ADA","Dangme East (Ada)",0.106862179934978,5.91473388671875
"150",10302,"Home Economics",236,261.763636363636,55,"ADA SENIOR HIGH./TECH. SCHOOL, ADA","Dangme East (Ada)",0.106862179934978,5.91473388671875
"151",10302,"Technical",275,291.84,50,"ADA SENIOR HIGH./TECH. SCHOOL, ADA","Dangme East (Ada)",0.106862179934978,5.91473388671875
"152",10401,"Agriculture",287,311.875,40,"GHANATTA SENIOR HIGH. SCHOOL, DODOWA","Dangme West (Dodowa)",0.512386500835419,5.78625059127808
"153",10401,"Business",335,352.3,40,"GHANATTA SENIOR HIGH. SCHOOL, DODOWA","Dangme West (Dodowa)",0.512386500835419,5.78625059127808
"154",10401,"General Arts",317,337.425,160,"GHANATTA SENIOR HIGH. SCHOOL, DODOWA","Dangme West (Dodowa)",0.512386500835419,5.78625059127808
"155",10401,"General Science",324,341.175,40,"GHANATTA SENIOR HIGH. SCHOOL, DODOWA","Dangme West (Dodowa)",0.512386500835419,5.78625059127808
"156",10401,"Home Economics",312,328.333333333333,39,"GHANATTA SENIOR HIGH. SCHOOL, DODOWA","Dangme West (Dodowa)",0.512386500835419,5.78625059127808
"157",10401,"Visual Arts",314,330.775,40,"GHANATTA SENIOR HIGH. SCHOOL, DODOWA","Dangme West (Dodowa)",0.512386500835419,5.78625059127808
"158",10402,"Agriculture",215,255.833333333333,12,"OSUDOKU SENIOR HIGH/TECHNICAL SCH., ASUTSUARE","Dangme West (Dodowa)",0.512386500835419,5.78625059127808
"159",10402,"Business",200,251.090909090909,44,"OSUDOKU SENIOR HIGH/TECHNICAL SCH., ASUTSUARE","Dangme West (Dodowa)",0.512386500835419,5.78625059127808
"160",10402,"General Arts",209,253.390625,64,"OSUDOKU SENIOR HIGH/TECHNICAL SCH., ASUTSUARE","Dangme West (Dodowa)",0.512386500835419,5.78625059127808
"161",10402,"Home Economics",213,244.02380952381,42,"OSUDOKU SENIOR HIGH/TECHNICAL SCH., ASUTSUARE","Dangme West (Dodowa)",0.512386500835419,5.78625059127808
"162",10402,"Technical",198,242,45,"OSUDOKU SENIOR HIGH/TECHNICAL SCH., ASUTSUARE","Dangme West (Dodowa)",0.512386500835419,5.78625059127808
"163",10402,"Visual Arts",213,250.086956521739,23,"OSUDOKU SENIOR HIGH/TECHNICAL SCH., ASUTSUARE","Dangme West (Dodowa)",0.512386500835419,5.78625059127808
"164",10403,"Agriculture",207,257.56,50,"NINGO SENIOR HIGH. SCHOOL, OLD NINGO","Dangme West (Dodowa)",0.512386500835419,5.78625059127808
"165",10403,"Business",246,276.06,50,"NINGO SENIOR HIGH. SCHOOL, OLD NINGO","Dangme West (Dodowa)",0.512386500835419,5.78625059127808
"166",10403,"General Arts",238,265.82,100,"NINGO SENIOR HIGH. SCHOOL, OLD NINGO","Dangme West (Dodowa)",0.512386500835419,5.78625059127808
"167",10403,"General Science",230,279,3,"NINGO SENIOR HIGH. SCHOOL, OLD NINGO","Dangme West (Dodowa)",0.512386500835419,5.78625059127808
"168",10403,"Home Economics",198,225.333333333333,9,"NINGO SENIOR HIGH. SCHOOL, OLD NINGO","Dangme West (Dodowa)",0.512386500835419,5.78625059127808
"169",10501,"Agriculture",314,334.555555555556,45,"ST JOHN'S GRAMMAR SENIOR HIGH. SCH., NEW ACHIMOTA","Ga West (Amasaman)",-0.397510528564453,5.6646876335144
"170",10501,"Business",339,354.426966292135,89,"ST JOHN'S GRAMMAR SENIOR HIGH. SCH., NEW ACHIMOTA","Ga West (Amasaman)",-0.397510528564453,5.6646876335144
